filename,chroma_freq,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,dbfs,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
031._Spotemgottem_-_Beat_Box_3.mp3,0.5482854843139648,0.20006875468049748,1973.3100798959792,2392.4556908715563,4303.793419994437,0.05491891709397575,-8.072998561227463,-101.53787994384766,98.41114044189453,14.881744384765625,28.625083923339844,15.847066879272461,6.938513278961182,-1.3808289766311646,5.446319103240967,-2.982313632965088,12.045185089111328,-3.9088551998138428,8.332650184631348,10.462945938110352,3.136030912399292,5.552590370178223,12.77227783203125,-3.958834171295166,9.365534782409668,1.610351800918579,5.87793493270874,Hip-Hop_-_Rap
061._Coi_Leray_-_No_More_Parties_(Remix).mp3,0.37478524446487427,0.09077519810012516,2632.610118990399,2356.7147718187057,5054.399992290296,0.12161087965202529,-15.10960154810821,-170.82472229003906,75.92752075195312,18.03684425354004,11.921284675598145,-12.155808448791504,0.8462275266647339,-8.836321830749512,-5.840234756469727,-8.540253639221191,-2.4425766468048096,-8.408957481384277,-5.188316345214844,-6.576502799987793,-3.2765204906463623,-7.4713592529296875,-4.042319297790527,-10.318717956542969,-3.535114288330078,-4.657101631164551,-1.8463642597198486,Hip-Hop_-_Rap
022._Juice_Wrld_-_Bandit.mp3,0.39168956875801086,0.19191239474339736,2139.314221792676,2515.724924305391,4697.038264318885,0.06549872210397317,-12.209281077207091,-83.95699310302734,96.57273864746094,10.796167373657227,17.11267852783203,13.117047309875488,1.644242525100708,1.2208160161972046,9.485681533813477,-11.028023719787598,6.705379486083984,-1.1349592208862305,6.789184093475342,-0.9046801924705505,4.081171989440918,1.2131811380386353,4.448402404785156,-5.563067436218262,6.544618606567383,-1.2491517066955566,2.636181116104126,Hip-Hop_-_Rap
033._Lil_Tecca_-_Ransom.mp3,0.5035398006439209,0.16489778074478217,2607.362763182253,2606.6339741926813,5382.000789110874,0.10262863111938854,-12.500578323176072,-76.19293975830078,80.06800079345703,-1.1926604509353638,15.576786994934082,5.4316887855529785,-6.220961093902588,-1.6874110698699951,5.955888271331787,-9.106669425964355,3.6711997985839844,-4.50467586517334,6.448831081390381,-1.47490394115448,2.2373175621032715,3.4930920600891113,4.416995048522949,-4.116700172424316,3.098064422607422,-3.1882777214050293,3.009223699569702,Hip-Hop_-_Rap
063._Post_Malone_-_Take_What_You_Want.mp3,0.3259090185165405,0.20179039936143342,1902.7302314062422,2148.3585692419033,3971.9343155899282,0.08436570300406347,-11.193320120856129,-37.20918655395508,116.87446594238281,-12.109275817871094,14.731972694396973,-0.4604912996292114,6.248533725738525,4.768733978271484,0.6627223491668701,1.1067558526992798,-1.01742422580719,-0.8658680319786072,2.0312247276306152,-0.10894819349050522,-1.042351484298706,-7.434066295623779,3.0449934005737305,-10.516816139221191,1.5751965045928955,-5.314757347106934,4.458724498748779,Hip-Hop_-_Rap
084._Travis_Scott_-_Goosebumps_(Remix).mp3,0.3953365981578827,0.13138282004916763,2302.6696082899016,2618.938211835149,5263.02095301011,0.08490802776702787,-15.6643410947844,-80.96597290039062,96.55891418457031,21.52193832397461,18.284358978271484,10.13858699798584,19.457233428955078,-6.652101993560791,5.726537227630615,-2.970118522644043,4.9735260009765625,-6.716459274291992,3.061220645904541,-0.3927192687988281,2.6410562992095947,-8.246366500854492,7.689291000366211,-4.604054927825928,0.26141202449798584,-3.1463541984558105,2.6471047401428223,Hip-Hop_-_Rap
59._Quavo_-_WORKIN_ME.mp3,0.4384920299053192,0.17317025549174628,2111.940962727523,2503.3547491041463,4623.844262468557,0.06975707377934727,-9.820927445535045,-78.23759460449219,100.19151306152344,8.297070503234863,11.80797290802002,-3.643446445465088,8.652979850769043,3.1447412967681885,0.5511698722839355,2.401961326599121,1.6175795793533325,-0.8041853904724121,6.130485534667969,4.249085426330566,5.595134735107422,2.438871145248413,3.5353477001190186,-5.563909530639648,6.3570661544799805,-0.7931731939315796,5.767111301422119,Hip-Hop_-_Rap
032._Lil_Baby_-_On_Me.mp3,0.5029628276824951,0.21554742183731557,2455.2512997455933,2605.3016195165283,5170.67428919553,0.060503791360294115,-8.085765507642598,-84.71937561035156,82.57447052001953,24.75113868713379,19.47953224182129,12.93819522857666,21.282188415527344,-7.452976703643799,7.827983856201172,9.542710304260254,5.278254508972168,-2.448890447616577,17.528963088989258,4.8662004470825195,8.462908744812012,2.56300687789917,2.5947389602661133,1.7593438625335693,4.543725490570068,-2.256737232208252,3.123058557510376,Hip-Hop_-_Rap
89._Megan_Thee_Stallion_-_Don’t_Stop_(feat._Young_Thug).mp3,0.5192983746528625,0.20448359793829982,3258.592770650362,3027.0393327444876,6986.129978050019,0.12966903198368163,-10.097911668387914,-29.81806755065918,49.31254959106445,18.896520614624023,23.786054611206055,18.10045623779297,16.073795318603516,8.424962997436523,13.835247993469238,-1.9793130159378052,10.553865432739258,2.6157190799713135,13.863547325134277,0.30485013127326965,10.232460975646973,3.0374722480773926,8.048343658447266,-0.8399515748023987,6.358107089996338,-0.041235893964767456,2.8695642948150635,Hip-Hop_-_Rap
73._DJ_Khaled_-_No_Brainer.mp3,0.3755859136581421,0.19314178064683515,2267.259199831332,2406.8534865534834,4702.760451939822,0.09746993215460527,-9.429185381631685,-60.10189437866211,86.83334350585938,1.2213197946548462,22.939834594726562,1.7408816814422607,3.3354392051696777,-6.112502098083496,4.051848411560059,0.014252370223402977,0.5529142022132874,-0.44495832920074463,4.865161895751953,0.990872323513031,-0.10078346729278564,-3.633239269256592,2.4045960903167725,-8.37740707397461,-0.08399458229541779,-7.417978286743164,2.091475248336792,Hip-Hop_-_Rap
19._Tyga_-_Taste_(feat._Offset).mp3,0.5388181209564209,0.20672129733698957,1992.4330324004343,2466.5391811333507,4439.025935595249,0.046400450085461814,-8.966093121486452,-94.43111419677734,96.2785415649414,21.727170944213867,37.849937438964844,23.99321937561035,7.3568434715271,5.912899494171143,10.87338924407959,3.6440505981445312,12.653746604919434,-5.6131391525268555,9.260579109191895,5.111454010009766,2.0736594200134277,-4.7550368309021,8.016084671020508,-1.487431526184082,8.089506149291992,6.050012111663818,5.702584266662598,Hip-Hop_-_Rap
